GOOD VIDEOS (APPROVED)
==================================================
Filename,Summary,Vertical Format,No Watermarks,No Subtitles,Single Shot,No Talking,Instrumental Music Only,Has Background Sound,Min 8 Seconds,Approved,Reason
"snaptik_7079513184146607365.mp4","A golden-colored puppy lies on a sofa cushion, looking at the camera and making soft growling/whining sounds.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""
"snaptik_7485705029752491286.mp4","A baby monkey in overalls and a t-shirt pushes a small blue toy dump truck with a miniature suitcase attached. It drives the truck down a series of steps and then off a pathway into some grass, where the truck tips over.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""
"snaptik_7487027508303416622.mp4","A video depicting a creepy face with large, wide eyes and a chilling smile slowly emerging from a dark opening in a weathered wooden floor, accompanied by an eerie instrumental sound.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""
"snaptik_7496244472704027959.mp4","The video depicts a bright light descending from the sky, followed by a massive explosion that creates a mushroom cloud over a city skyline. The perspective then shifts slightly to show two hands appearing in the foreground as the explosion intensifies and debris flies through the air.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""
"snaptik_7497216999316049174.mp4","A person is shown spray painting a wooden fence in a garden setting, using a handheld paint sprayer to cover the natural wood with a grey color. The sound of the paint sprayer is audible.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""
"snaptik_7502792489456422190.mp4","The video captures the dramatic implosion of a large, multi-faceted building from a distance, showing it collapsing into a massive cloud of dust and debris. Several excavators are visible in the foreground, and a person in a black hoodie is watching the event.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""
"snaptik_7511851979090431254.mp4","The video shows an outdoor cinema setup with a large screen displaying 'CINEMA PARADISO' and several beanbag chairs on a grassy lawn. A few people are seated on the beanbags, watching the screen. In the background, there is a large island or rock formation in the sea under a clear sky. Instrumental music plays in the background.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""
"snaptik_7515596583442976022.mp4","The video shows a dark, rainy night scene illuminated by streetlights. Heavy rain is visible, and flashes of lightning occur, accompanied by the sound of thunder.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,""


BAD VIDEOS (REJECTED)
==================================================
Filename,Summary,Vertical Format,No Watermarks,No Subtitles,Single Shot,No Talking,Instrumental Music Only,Has Background Sound,Min 8 Seconds,Approved,Reason
"Best_sound_in_the_world___Nature_Video__soundscape.mp4","The video shows ocean waves gently crashing onto a sandy beach at what appears to be sunrise or sunset, with an orange-yellow sky. The sound of the waves is present.",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,"The video contains a watermark ('Mr.Explorer') and on-screen text ('best therapy ever'), which violates the 'No Watermarks' and 'No Subtitles/Text' criteria."
"snaptik_7208536116910247210.mp4","The video is a time-lapse showing the full growth cycle of a sunflower, from a seed being planted and germinating underground, to its stem and leaves developing above ground, then the bud forming, blooming into a sunflower, and finally wilting over a period of 75 days.",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,"The video contains on-screen text indicating the 'DAY' throughout the time-lapse and has a watermark 'AMAZING TUBE' at the end."
"snaptik_7327622501058678022.mp4","The video shows a large surge of water, possibly a king tide or tsunami, rushing into and flooding the interior of a building where people are present. The water flows through doors and windows, causing significant inundation.",Yes,No,No,Yes,No,Yes,Yes,Yes,No,"The video contains visible watermarks ('TRT WORLD', 'storyful') and on-screen text/subtitles identifying the source and location. There is also clear spoken dialogue throughout the video."
"snaptik_7366009225748696362 (1).mp4","A man in a unique suit and hat, identified as Bad Bunny, poses on a red carpet for numerous photographers while being guided by an assistant. The background features a painted forest scene and a green staircase.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,"The video contains clear spoken dialogue from people in the background, specifically calling out the subject's name and giving directions."
"snaptik_7394845491114069281.mp4","The video shows various perspectives of a ship battling rough seas and large waves. It includes views from the bow being submerged by waves, a side view of waves crashing against the hull, and a view from the stern of waves in the wake.",Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,"The video is not a single continuous shot; it contains multiple cuts and transitions between different camera angles/clips. There is also spoken dialogue present throughout the video."
"snaptik_7405077039516028193.mp4","The video shows a compilation of multiple babies reacting to a dancing cactus toy, with most babies crying or showing distress, while one toddler laughs.",Yes,No,No,No,No,No,Yes,Yes,No,"The video contains watermarks (@EHCULO, butterfly icon), on-screen text/subtitles, is a compilation of multiple shots, and includes spoken dialogue/repeated speech from the toy and babies, which is not instrumental music."
"snaptik_7425135191389261078.mp4","A male bodybuilder with a mustache performs various poses on stage during a competition, set to instrumental music.",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,"The video contains visible watermarks/logos ('Giles Productions', 'IFBB PROFESSIONAL LEAGUE') and on-screen text/logos ('OLYMPIA', 'OPTIMUM NUTRITION') from the stage background."
"snaptik_7435792522414132513.mp4","A man with a large belly attempts to button a suit jacket that is too small for him. He eventually manages to button it, though it fits very tightly, while lively music plays in the background.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"The background music contains discernible lyrics, failing the 'instrumental only' rule."
"snaptik_7456380434713267478.mp4","The video showcases the art of glassblowing, first showing a craftsman shaping clear glass into a delicate, wavy form, and then another artisan shaping molten orange glass, adding colors, and forming it into a heart shape, demonstrating the intricate process of glass art.",Yes,No,No,No,Yes,Yes,Yes,Yes,No,"The video contains TikTok-style user profile overlays which act as watermarks. It also has on-screen text 'THANKS FOR WATCHING' and is not a single continuous shot, but rather a compilation of multiple clips."
"snaptik_7460628304811396357.mp4","A man and a woman are performing a partner dance, possibly Mambo or Salsa, in a brightly lit room with wooden floors and a high beamed ceiling.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"The music contains lyrics, but the approval criteria require instrumental music only."
"Switzerland__The_Land_of_Pure_Nature.mp4","The video showcases various beautiful scenes of the Swiss Alps, featuring lush green valleys, snow-capped mountains, flowing rivers, lakes, small villages, and grazing animals like cows and goats, accompanied by calming instrumental music.",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"The video is a montage of multiple short clips, not a single continuous shot."
